distance_from_rim_km,longitude_e_deg,latitude_n_deg,mola_raw_m,corrected_min_m,corrected_median_m,corrected_max_m,ctx_raw_m
5.854698,76.089308,18.179549,-1224.382962,-100.01460473273823,-39.16609023870319,-34.072258210421296,nan
5.954698,76.090317,18.180937,-1220.456021,-95.67001968091336,-34.91447949391409,-29.719400626152947,nan
6.054698,76.091327,18.182324,-1221.946427,-96.74157842514069,-36.07896886444519,-30.782554728936248,nan
6.154698,76.092336,18.183712,-1226.773069,-101.15057637331574,-40.58094111965602,-35.18328014466783,nan
6.254698,76.093346,18.1851,-1233.15803,-107.11702236149358,-46.64037490900819,-41.141373650538526,nan
6.354698,76.094355,18.186488,-1243.353455,-116.89480330966967,-56.51113016422073,-50.91088206627137,nan
6.454698,76.095365,18.187876,-1257.359346,-130.48217929783527,-70.1914939535609,-64.48990557212846,nan
6.554698,76.096374,18.189264,-1275.175702,-147.88089124601152,-87.68318020877291,-81.88034498786146,nan
6.654698,76.097383,18.190652,-1296.802523,-169.09006819418641,-108.98533146398381,-103.08124940359312,nan
6.754698,76.098393,18.19204,-1301.213458,-173.08248818235165,-113.07073925332429,-107.06531690945008,nan
6.854698,76.099402,18.193428,-1298.355592,-169.8069781305278,-109.88820350853621,-103.78153432518297,nan
6.954698,76.100412,18.194816,-1297.655348,-168.6882191186935,-108.86243229787647,-102.65442283104016,nan
7.054698,76.101421,18.196204,-1299.112728,-169.72795506686998,-109.99514255308918,-103.68588624677318,nan
7.154698,76.10243,18.197592,-1302.72773,-172.9253130150446,-113.2854748082998,-106.87497166250478,nan
7.254698,76.10344,18.19898,-1308.500355,-178.27942300321,-118.73257259763977,-112.22072916836169,nan
7.354698,76.104449,18.200368,-1304.921416,-174.28283995138622,-114.82896385285221,-108.21587358409465,nan
7.454698,76.105459,18.201756,-1302.154403,-171.09731193956418,-111.73642364220473,-105.02199308996546,nan
7.554698,76.106468,18.203144,-1298.008773,-166.53403788772812,-107.26612389740467,-100.4504465056848,nan
7.654698,76.107477,18.204532,-1294.791417,-162.89903783590262,-103.7240981526154,-96.80717392141628,nan
7.754698,76.108487,18.205919,-1292.538155,-160.22692858014284,-101.1449195231587,-94.12666002421315,nan
7.854698,76.109496,18.207307,-1288.710605,-155.9817345283177,-96.9926997783698,-89.87319343994477,nan
7.954698,76.11086,18.207785,-1283.322034,-149.5639866923393,-90.62068753577569,-83.3713260562613,nan
8.054698,76.112577,18.207356,-1289.409381,-154.01336272404205,-95.06870498354715,-87.66105190213398,nan
8.154698,76.114295,18.206926,-1291.755249,-154.7200565518085,-95.77399654664964,-88.20796343507095,nan
8.254698,76.116012,18.206497,-1286.238177,-147.56501358351125,-88.6175949944211,-80.8932702809434,nan
